================================================================================
Verification Started At:   Wed Nov 22  12:48:43  2017
Verification Completed At: Wed Nov 22  12:49:02  2017
================================================================================
Verification report                                     Machine S/N:SFD2001052
Grid S/N: 0003  Units: IN              4.0+L/100             12:49PM on 11\22\17
================================================================================
                     Distance                               Distance  
--------------------------------------------------------------------------------
        Nominal    Atol   Deviation            Nominal    Atol   Deviation      
================================================================================
 1- 2    +0.47244 +0.00016 +0.00000      1- 3    +0.94488 +0.00017 -0.00001     
 1- 4    +1.41732 +0.00017 -0.00000      1- 5    +1.88976 +0.00018 -0.00000     
 1- 6    +1.92269 +0.00018 +0.00001      1- 7    +1.46094 +0.00017 +0.00000     
 1- 8    +1.00913 +0.00017 +0.00001      1- 9    +0.59055 +0.00016 -0.00000     
 1-10    +0.35433 +0.00016 -0.00002      1-11    +0.70866 +0.00016 +0.00000     
 1-12    +0.85170 +0.00017 +0.00001      1-13    +1.18110 +0.00017 +0.00000     
 1-14    +1.58461 +0.00017 -0.00000      1-15    +2.01826 +0.00018 +0.00000     
 1-16    +2.16821 +0.00018 -0.00000      1-17    +1.77165 +0.00018 -0.00001     
 1-18    +1.42223 +0.00017 +0.00001      1-19    +1.16325 +0.00017 +0.00001     
 1-20    +1.06299 +0.00017 -0.00001      1-21    +1.41732 +0.00017 +0.00001     
 1-22    +1.49399 +0.00017 +0.00000      1-23    +1.70341 +0.00017 +0.00002     
 1-24    +2.00439 +0.00018 +0.00001      1-25    +2.36220 +0.00018 +0.00001     
 2- 3    +0.47244 +0.00016 -0.00001      2- 4    +0.94488 +0.00017 -0.00000     
 2- 5    +1.41732 +0.00017 -0.00000      2- 6    +1.46094 +0.00017 +0.00000     
 2- 7    +1.00913 +0.00017 -0.00000      2- 8    +0.59055 +0.00016 +0.00000     
 2- 9    +0.35433 +0.00016 -0.00001      2-10    +0.59055 +0.00016 -0.00001     
 2-11    +0.85170 +0.00017 -0.00002      2-12    +0.70866 +0.00016 -0.00001     
 2-13    +0.85170 +0.00017 -0.00001      2-14    +1.18110 +0.00017 -0.00001     
 2-15    +1.58461 +0.00017 -0.00001      2-16    +1.77165 +0.00018 -0.00001     
 2-17    +1.42223 +0.00017 -0.00002      2-18    +1.16325 +0.00017 -0.00000     
 2-19    +1.06299 +0.00017 -0.00001      2-20    +1.16325 +0.00017 -0.00002     
 2-21    +1.49399 +0.00017 -0.00000      2-22    +1.41732 +0.00017 -0.00001     
 2-23    +1.49399 +0.00017 +0.00000      2-24    +1.70341 +0.00017 +0.00001     
 2-25    +2.00439 +0.00018 +0.00000      3- 4    +0.47244 +0.00016 +0.00000     
 3- 5    +0.94488 +0.00017 +0.00001      3- 6    +1.00913 +0.00017 +0.00001     
 3- 7    +0.59055 +0.00016 +0.00001      3- 8    +0.35433 +0.00016 +0.00001     
 3- 9    +0.59055 +0.00016 -0.00000      3-10    +1.00913 +0.00017 -0.00001     
 3-11    +1.18110 +0.00017 -0.00001      3-12    +0.85170 +0.00017 +0.00000     
 3-13    +0.70866 +0.00016 +0.00001      3-14    +0.85170 +0.00017 +0.00000     
 3-15    +1.18110 +0.00017 +0.00001      3-16    +1.42223 +0.00017 +0.00001     
 3-17    +1.16325 +0.00017 -0.00000      3-18    +1.06299 +0.00017 +0.00001     
 3-19    +1.16325 +0.00017 +0.00001      3-20    +1.42223 +0.00017 -0.00000     
 3-21    +1.70341 +0.00017 +0.00001      3-22    +1.49399 +0.00017 -0.00000     
 3-23    +1.41732 +0.00017 +0.00001      3-24    +1.49399 +0.00017 +0.00003     
 3-25    +1.70341 +0.00017 +0.00002      4- 5    +0.47244 +0.00016 +0.00000     
 4- 6    +0.59055 +0.00016 +0.00000      4- 7    +0.35433 +0.00016 +0.00000     
 4- 8    +0.59055 +0.00016 -0.00001      4- 9    +1.00913 +0.00017 -0.00000     
 4-10    +1.46094 +0.00017 -0.00001      4-11    +1.58461 +0.00017 -0.00001     
 4-12    +1.18110 +0.00017 -0.00000      4-13    +0.85170 +0.00017 -0.00000     
 4-14    +0.70866 +0.00016 -0.00000      4-15    +0.85170 +0.00017 +0.00000     
 4-16    +1.16325 +0.00017 +0.00000      4-17    +1.06299 +0.00017 -0.00001     
 4-18    +1.16325 +0.00017 +0.00001      4-19    +1.42223 +0.00017 -0.00000     
 4-20    +1.77165 +0.00018 -0.00000      4-21    +2.00439 +0.00018 +0.00000     
 4-22    +1.70341 +0.00017 -0.00001      4-23    +1.49399 +0.00017 +0.00000     
 4-24    +1.41732 +0.00017 +0.00002      4-25    +1.49399 +0.00017 +0.00002     
 5- 6    +0.35433 +0.00016 -0.00001      5- 7    +0.59055 +0.00016 -0.00000     
 5- 8    +1.00913 +0.00017 -0.00001      5- 9    +1.46094 +0.00017 +0.00000     
 5-10    +1.92269 +0.00018 -0.00000      5-11    +2.01826 +0.00018 -0.00002     
 5-12    +1.58461 +0.00017 -0.00001      5-13    +1.18110 +0.00017 -0.00001     
 5-14    +0.85170 +0.00017 -0.00000      5-15    +0.70866 +0.00016 -0.00000     
 5-16    +1.06299 +0.00017 -0.00001      5-17    +1.16325 +0.00017 -0.00001     
 5-18    +1.42223 +0.00017 +0.00000      5-19    +1.77165 +0.00018 -0.00000     
 5-20    +2.16821 +0.00018 -0.00000      5-21    +2.36220 +0.00018 -0.00000     
 5-22    +2.00439 +0.00018 -0.00001      5-23    +1.70341 +0.00017 -0.00001     
 5-24    +1.49399 +0.00017 +0.00002      5-25    +1.41732 +0.00017 +0.00001     
 6- 7    +0.47244 +0.00016 +0.00001      6- 8    +0.94488 +0.00017 -0.00000     
 6- 9    +1.41732 +0.00017 +0.00001      6-10    +1.88976 +0.00018 +0.00001     
 6-11    +1.92269 +0.00018 -0.00000      6-12    +1.46094 +0.00017 +0.00001     
 6-13    +1.00913 +0.00017 +0.00001      6-14    +0.59055 +0.00016 +0.00001     
 6-15    +0.35433 +0.00016 +0.00001      6-16    +0.70866 +0.00016 +0.00001     
